region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3,Tracker (yo2y),Low (yo2y),High (yo2y),Tracker (counterfactual),Low (counterfactual),High (counterfactual)
Argentina,2018-03-11,2.203752868891816,0.2673395829702629,4.128647988200089,ARG,,,,,,
Argentina,2018-03-18,0.8146025472896535,-1.2209205658058337,3.9757251157508375,ARG,,,,,,
Argentina,2018-03-25,2.5382631792098795,0.48805314365218505,5.456279389814174,ARG,,,,,,
Argentina,2018-04-01,-0.06773060181354328,-1.8697918982760733,2.1174313304978676,ARG,,,,,,
Argentina,2018-04-08,0.8221015945115712,-1.9074392949051044,3.665456794022391,ARG,,,,,,
Argentina,2018-04-15,-2.430977886647095,-4.812356631218836,0.6460947467951057,ARG,,,,,,
Argentina,2018-04-22,0.2567145138122107,-1.6313133220019231,2.7736866500859065,ARG,,,,,,
Argentina,2018-04-29,2.5775095742939755,-0.6814945332979261,5.8773537275865175,ARG,,,,,,
Argentina,2018-05-06,-2.162988986037648,-5.023131383419617,1.8624696884746235,ARG,,,,,,
Argentina,2018-05-13,-2.0670196409962927,-4.980132388541298,1.677544079143022,ARG,,,,,,
Argentina,2018-05-20,-2.798711050048842,-5.225093486849613,0.4799553563201848,ARG,,,,,,
Argentina,2018-05-27,-2.4840442785221892,-4.814773888296558,0.35862347747532186,ARG,,,,,,
Argentina,2018-06-03,-3.656970231459959,-6.269194290096939,-0.6884462415309599,ARG,,,,,,
Argentina,2018-06-10,-4.2873467345713125,-7.271291435333218,-0.010658243647953258,ARG,,,,,,
Argentina,2018-06-17,-0.9745298412646125,-4.996520758993666,3.3852651420974045,ARG,,,,,,
Argentina,2018-06-24,-3.799805837598418,-7.574485505514031,0.47464477896881974,ARG,,,,,,
Argentina,2018-07-01,-2.4974403582288227,-5.453439714174354,0.5212230421296321,ARG,,,,,,
Argentina,2018-07-08,-1.0959628792938845,-3.8744381639058494,1.6671575313690674,ARG,,,,,,
Argentina,2018-07-15,-1.143429231563952,-4.116734835897725,1.0523225268866911,ARG,,,,,,
Argentina,2018-07-22,-2.516337063889233,-6.380209844875889,0.13490980097257776,ARG,,,,,,
Argentina,2018-07-29,-3.202293469861056,-6.02416511991219,-0.6506408792970428,ARG,,,,,,
Argentina,2018-08-05,-4.2167472340057355,-6.6537102546728315,-0.9868863848140332,ARG,,,,,,
Argentina,2018-08-12,-2.7810286235953448,-6.034970298557867,1.0708772549223102,ARG,,,,,,
Argentina,2018-08-19,-4.431779598223435,-8.006688728687582,-0.7965385789423691,ARG,,,,,,
Argentina,2018-08-26,-3.35864321954129,-6.464056666789757,1.1495833366425618,ARG,,,,,,
Argentina,2018-09-02,-1.0721052939240578,-3.899935921945974,1.8116909987415992,ARG,,,,,,
Argentina,2018-09-09,-4.752938195170737,-7.21181697297951,-0.8641320896343215,ARG,,,,,,
Argentina,2018-09-16,-4.041059977934569,-7.063465896360803,0.7634367413878398,ARG,,,,,,
Argentina,2018-09-23,-5.943283311896984,-9.657253545246586,-1.794370482405555,ARG,,,,,,
Argentina,2018-09-30,-3.80277608192445,-7.603704631339182,0.8328384876355046,ARG,,,,,,
Argentina,2018-10-07,-5.709302437656567,-8.97165662852154,-1.7209067076972437,ARG,,,,,,
Argentina,2018-10-14,-2.5969493738490828,-5.483429758295761,1.2553587201970877,ARG,,,,,,
Argentina,2018-10-21,-3.792021729550503,-7.125103200201717,-0.11499857758414059,ARG,,,,,,
Argentina,2018-10-28,-4.88491414228054,-7.597390862790875,-0.8687120494620794,ARG,,,,,,
Argentina,2018-11-04,-7.063984217613238,-9.584273746718043,-3.07469951260051,ARG,,,,,,
Argentina,2018-11-11,-2.9015056560605186,-5.54425777519309,1.0606261854332888,ARG,,,,,,
Argentina,2018-11-18,-4.519697013690749,-7.810369694908625,0.526954135086149,ARG,,,,,,
Argentina,2018-11-25,-4.876699842119795,-8.296284219539526,-0.534393517753939,ARG,,,,,,
Argentina,2018-12-02,-4.046687654591075,-6.773681973535742,0.7961632353028023,ARG,,,,,,
Argentina,2018-12-09,-1.2962364972977187,-5.014746233823919,2.591236599379492,ARG,,,,,,
Argentina,2018-12-16,0.10526493803639521,-2.9441491593518525,3.564749580208975,ARG,,,,,,
Argentina,2018-12-23,-0.5645705205812851,-3.9889300494266813,2.690529250573512,ARG,,,,,,
Argentina,2018-12-30,-2.1008297175231943,-5.020170284044492,1.1132722587188886,ARG,,,,,,
Argentina,2019-01-06,-2.590216894138423,-6.218928041276497,0.7457915063717035,ARG,,,,,,
Argentina,2019-01-13,-3.935134502769246,-7.5326053035714216,-0.153999787366459,ARG,,,,,,
Argentina,2019-01-20,-2.034613986440778,-5.647430407406115,1.4806676713751254,ARG,,,,,,
Argentina,2019-01-27,-1.0397600067718793,-4.457754063075123,2.5552082798782827,ARG,,,,,,
Argentina,2019-02-03,-2.050204819269849,-5.840974373575787,1.9790760983682125,ARG,,,,,,
Argentina,2019-02-10,-2.5738617824818,-6.185480797509828,1.5108918208510727,ARG,,,,,,
Argentina,2019-02-17,-1.840836417293926,-5.099112464096455,1.6763686255404977,ARG,,,,,,
Argentina,2019-02-24,-3.0459048846933685,-6.240539864909586,1.871610056371902,ARG,,,,,,
Argentina,2019-03-03,0.14603123191023057,-2.913908292487366,4.226238134755119,ARG,,,,,,
Argentina,2019-03-10,-3.06733232425326,-7.210371294385059,1.8985711195606583,ARG,-0.4031806229546704,-3.542532238598073,3.521744555833112,,,
Argentina,2019-03-17,-4.5169979930638835,-7.100511016877312,-1.0554568317618336,ARG,-3.193658132081571,-5.567556299967303,-0.2417577642851861,,,
Argentina,2019-03-24,-4.144547680084614,-7.968442156846509,0.4437924356143408,ARG,-2.904812657766333,-6.041773934411074,0.2254598022093219,,,
Argentina,2019-03-31,-5.707726983399049,-9.095563213948962,-2.0262380891877383,ARG,-4.331376676359221,-7.03394185145097,-1.07788551072884,,,
Argentina,2019-04-07,-5.212738673131664,-8.027200681888544,-1.8081304706444514,ARG,-3.703346683485131,-6.315317988971778,0.7299425662987515,,,
Argentina,2019-04-14,-2.1289053236803768,-6.505538168910504,1.1004722919048433,ARG,-3.549519287115565,-7.473035098659393,-0.1112313212646886,,,
Argentina,2019-04-21,-3.4877312910493385,-7.925184178275192,1.3563454391231005,ARG,-4.554763506247371,-8.087583768352825,-0.8676386222528025,,,
